번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보(X),좌표정보(Y)
6963,3640000-S198200002,1982-03-20,,사용중,구 지하상가 지하1층,공공용시설,"대전광역시 동구 중앙로 지하 200 (중동, 구지하상가)",대전광역시 동구 중동 317번지,34627,지하,4509.1,5465,2023-07-06 16:51,I,2023-07-28 1:14,36,19,50.68,127,25,52.85,36.33105747,127.4322085,993915.7479,1814855.695
6964,3640000-S198800020,1988-03-20,,사용중,용운주공2단지아파트 206동 지하1층,공공용시설,"대전광역시 동구 백룡로 138 (용운동, 주공아파트)",대전광역시 동구 용운동 147번지,34652,지하,429.75,520,2023-10-25 15:38,U,2023-10-27 2:40,36,19,43.52,127,27,14.27,36.32873386,127.4540182,995873.035,1814596.808
6965,3640000-S198800023,1988-03-20,,사용중,용운주공2단지아파트 203동 지하1층,공공용시설,"대전광역시 동구 백룡로 138 (용운동, 주공아파트)",대전광역시 동구 용운동 147번지,34652,지하,495.87,601,2023-10-25 15:37,U,2023-10-27 2:40,36,19,43.52,127,27,14.27,36.32873386,127.4540182,995873.035,1814596.808
6966,3640000-S198800032,1988-03-20,,사용중,대전대학교 학생회관 식당(지하1층),공공용시설,대전광역시 동구 대학로 62 (대전대학교),대전광역시 동구 용운동 96번지 3호,34520,지하,1368.6,1658,2023-10-25 15:38,U,2023-10-27 2:40,36,20,6.92,127,27,29.82,36.33525656,127.4582844,996256.248,1815320.136
6967,3640000-S198800038,1988-03-20,,사용중,동대전성결교회 지하주차장 1층,공공용시설,"대전광역시 동구 미래길 4 (자양동, 동대전성결교회)",대전광역시 동구 자양동 281번지 3호,34610,지하,2371.9,2875,2024-01-24 14:49,U,2024-01-26 2:40,36,19,54.9,127,26,27.54,36.33191555,127.440983,994703.3134,1814950.357
6970,3640000-S199000006,1990-03-20,,사용중,동대전정신병원 지하1층,공공용시설,대전광역시 동구 옥천로 315 (삼정동),대전광역시 동구 삼정동 118번지 5호,34502,지하,614.2,744,2023-10-31 9:58,U,2023-11-02 2:40,36,19,22.62,127,28,16.98,36.32294988,127.4713843,997431.4874,1813954.643
6971,3640000-S199000022,1990-03-20,,사용중,평화아파트 지하주차장(지하1층),공공용시설,"대전광역시 동구 비래서로62번길 5 (가양동, 평화아파트)",대전광역시 동구 가양동 46번지 2호,34528,지하,331,401,2023-01-04 11:06,I,2023-07-28 1:14,36,21,14.11,127,27,4.31,36.35391581,127.451163,995618.185,1817390.139
6972,3640000-S199100008,1991-03-20,,사용중,판암초등학교 지하1층,공공용시설,"대전광역시 동구 옥천로180번길 32 (판암동, 대전판암초등학교)",대전광역시 동구 판암동 334번지 1호,34676,지하,1029.77,1248,2023-10-31 10:03,U,2023-11-02 2:40,36,18,57.64,127,27,40.02,36.316012,127.4611162,996509.5325,1813185.411
6973,3640000-S199100013,1991-03-20,,사용중,판암주공아파트 104동 지하1층,공공용시설,"대전광역시 동구 옥천로180번길 47-2 (판암동, 주공아파트)",대전광역시 동구 판암동 178번지,34677,지하,842.98,1021,2023-10-31 10:00,U,2023-11-02 2:40,36,18,56.1,127,27,43.27,36.31558375,127.4620183,996590.4879,1813137.877
6974,3640000-S199100014,1991-03-21,,사용중,판암주공아파트 105동 지하1층,공공용시설,"대전광역시 동구 옥천로180번길 47-2 (판암동, 주공아파트)",대전광역시 동구 판암동 178번지,34677,지하,747.11,905,2023-10-31 10:00,U,2023-11-02 2:40,36,18,56.1,127,27,43.27,36.31558375,127.4620183,996590.4879,1813137.877
6975,3640000-S199100024,1991-03-20,,사용중,판암주공아파트 207동 지하1층,공공용시설,"대전광역시 동구 옥천로180번길 23 (판암동, 주공아파트)",대전광역시 동구 판암동 202번지,34677,지하,770.25,933,2023-10-31 10:02,U,2023-11-02 2:40,36,18,59.3,127,27,40.01,36.31647218,127.4611137,996509.3297,1813236.455
6976,3640000-S199100025,1991-03-20,,사용중,판암주공아파트 208동 지하1층,공공용시설,"대전광역시 동구 옥천로180번길 23 (판암동, 주공아파트)",대전광역시 동구 판암동 202번지,34677,지하,489.26,593,2023-10-31 10:02,U,2023-11-02 2:40,36,18,59.3,127,27,40.01,36.31647218,127.4611137,996509.3297,1813236.455
6977,3640000-S199100027,1991-03-20,,사용중,판암주공아파트 210동 지하1층,공공용시설,"대전광역시 동구 옥천로180번길 23 (판암동, 주공아파트)",대전광역시 동구 판암동 202번지,34677,지하,747.11,905,2023-10-31 10:02,U,2023-11-02 2:40,36,18,59.3,127,27,40.01,36.31647218,127.4611137,996509.3297,1813236.455
6978,3640000-S199100029,1991-03-20,,사용중,삼정하이츠타운 1동 지하1층,공공용시설,"대전광역시 동구 동부로73번길 95 (용운동, 삼정하이츠타운)",대전광역시 동구 용운동 363번지,34661,지하,330.58,400,2023-06-13 11:47,I,2023-07-28 1:14,36,19,33.8,127,27,29.89,36.3260561,127.4583034,996257.512,1814299.614
6979,3640000-S199100030,1991-03-20,,사용중,삼정하이츠타운 5동 지하1층,공공용시설,"대전광역시 동구 동부로73번길 95 (용운동, 삼정하이츠타운)",대전광역시 동구 용운동 363번지,34661,지하,264.46,320,2023-06-13 11:46,I,2023-07-28 1:14,36,19,33.8,127,27,29.89,36.3260561,127.4583034,996257.512,1814299.614
